bucket,type,name,link,srcUrl,stars,forks,commits,releases,contributors,openIssues,stackoverflowQuestions,language,description,excerpt
disillusionment-trough,server-web-framework,Wicket,http://wicket.apache.org/,https://github.com/apache/wicket,260,155,18648,222,32,5,3088,Java,Mirror of Apache Wicket,"Apache Wicket, commonly referred to as Wicket, is a lightweight component-based web application framework for the Java programming language conceptually similar to JavaServer Faces and Tapestry. "
disillusionment-trough,server-web-framework,Jboss Seam,http://seamframework.org/,https://github.com/seam/parent,12,10,166,16,,0,1716,,Seam Parent POM,"an open source enterprise framework in Java. Because it fulfills some of the missed features of Java technologies such as JavaServer Faces and Enterprise Java Beans, Seam has positioned ü??"
disillusionment-trough,server-web-framework,Flask,http://flask.pocoo.org/,https://github.com/mitsuhiko/flask,14165,4102,2256,16,,153,7876,Python,"A microframework based on Werkzeug, Jinja2 and good intentions","a web microframework for Python based on ""Werkzeug, Jinja 2 and good intentions"". BSD-licensed."
enlightenment-slope,server-web-framework,Stripes,https://stripesframework.atlassian.net/wiki/display/STRIPES/Home,https://github.com/StripesFramework/stripes,68,27,1063,31,,5,261,Java,"Stripes is a Java framework with the goal of making Servlet/JSP based web development in Java as easy, intuitive and straight-forward as it should be. It's stripey and it doesn't suck.",an open source web application framework based on the model-view-controller pattern.
enlightenment-slope,server-web-framework,Laravel,http://laravel.com/,https://github.com/laravel/laravel,16583,5348,4428,51,270,27,36985,PHP,A PHP Framework For Web Artisans,"an open-source PHP web development MVC framework created by Taylor Otwell. Laravel helps you create applications using simple, expressive syntax."
enlightenment-slope,client-web-framework,KnockoutJS,http://knockoutjs.com/,https://github.com/knockout/knockout,6419,1100,1371,35,56,236,14635,JavaScript,"Knockout makes it easier to create rich, responsive UIs with JavaScript",an open source JavaScript library for dynamic HTML UIs using the Model-View-View Model (MVVM) pattern.
enlightenment-slope,client-web-framework,FlightJS,https://flightjs.github.io/,https://github.com/flightjs/flight,6068,553,494,21,53,16,20,JavaScript,"A component-based, event-driven JavaScript framework from Twitter","a lightweight, component-based JavaScript framework that maps behavior to DOM nodes. Twitter uses it for their web applications."
productivity-plateau,client-web-framework,EmberJS,http://emberjs.com/,https://github.com/emberjs/ember.js,13865,2953,9793,118,493,465,20378,JavaScript,Ember.js - A JavaScript framework for creating ambitious web applications,"an MVC application framework written in JavaScript.  Consider making your question easier to answer by using the pre-configured templates from this tag's wiki (click learn more).
"
productivity-plateau,client-web-framework,AngularJS,http://angularjs.org/,https://github.com/angular/angular.js,39034,16534,6766,139,1236,1260,112086,JavaScript,HTML enhanced for web apps,an open-source JavaScript framework. Its goal is to augment browser-based applications with Modelü??Viewü??Whatever(MV*) capability and reduce the amount of JavaScript needed to make web applü??
enlightenment-slope,server-web-framework,Netty,http://netty.io/,https://github.com/netty/netty,4691,2308,6736,123,155,278,2309,Java,Netty project - an event-driven asynchronous network application framework,An open source asynchronous event-driven network application framework written in Java. It is a NIO client server framework which enables quick and easy development of network applications such as proü??
enlightenment-slope,server-web-framework,Grails,http://grails.org/,https://github.com/grails/grails-core,1341,646,15961,85,154,120,23273,Java,The Grails Web Application Framework,"an Open Source, full stack, web application framework that uses the Groovy programming language (which is in turn based on the Java virtual machine (JVM) and Java. The framework is oriented ü??"
enlightenment-slope,server-web-framework,GWT,http://www.gwtproject.org/,https://github.com/gwtproject/gwt,338,73,8449,57,,0,18677,Java,GWT Open Source Project,a development toolkit for building and optimizing complex browser-based applications. Its goal is to enable productive development of high-performance web applü??
productivity-plateau,server-web-framework,Play,http://playframework.com/,https://github.com/playframework/playframework,6322,2219,6325,87,424,200,17890,Scala,Play Framework,a modern Java and Scala web application open-source framework that provides a clean alternative to bloated Enterprise Java stacks.
productivity-plateau,client-web-framework,BackboneJS,http://backbonejs.org/,https://github.com/jashkenas/backbone,21940,4896,3008,22,258,23,20070,JavaScript,"Give your JS App some Backbone with Models, Views, Collections, and Events",a JavaScript library that provides structure to RESTful web applications.
disillusionment-trough,js-library,YUI,http://yuilibrary.com/,https://github.com/yui/yui3,2982,1014,25381,79,139,397,2067,JavaScript,A library for building richly interactive web applications.,"a set of utilities and controls, written with JavaScript and CSS, for building richly interactive web applications using techniques such as DOM scripting, DHü??"
disillusionment-trough,js-library,Dojo,https://dojotoolkit.org/,https://github.com/dojo/dojo,586,334,3754,165,,27,7850,JavaScript,The Dojo Toolkit core library. Please submit bugs to https://bugs.dojotoolkit.org/,"an open source modular JavaScript library designed to ease the rapid development of cross-platform, JavaScript/Ajax-based applications and web sites. It is dual-licensed under the BSD ü??"
productivity-plateau,client-web-framework,ExtJS,http://www.sencha.com/products/extjs/#overview,http://www.sencha.com/products/extjs/evaluate/,,,,,,,28055,js,,a JavaScript framework for building Rich Internet Applications (RIAs).
productivity-plateau,js-library,jQuery,http://jquery.com/,https://github.com/jquery/jquery,34598,8478,5829,127,224,110,616378,JavaScript,jQuery JavaScript Library,"a popular cross-browser JavaScript library that facilitates DOM (Document Object Model - HTML Structure) traversal, event handling, animations, and AJAX interactions by minimizing the discreü??"
productivity-plateau,server-web-framework,Struts,http://struts.apache.org/,https://github.com/apache/struts,193,206,3960,70,13,2,13509,Java,Mirror of Apache Struts,a free open-source solution for creating Java web applications. This framework has reached End Of Life status as of 2013-04-05.
productivity-plateau,server-web-framework,Spring MVC,http://docs.spring.io/spring/docs/current/spring-framework-reference/html/mvc.html,https://github.com/spring-projects/spring-framework,5694,4797,10389,70,,80,26060,Java,The Spring Framework,"Based on the Model-View-Controller (MVC) pattern, Spring MVC helps you build web-based applications that are flexible and decoupled from the underlying view technologies."
productivity-plateau,server-web-framework,ASP.NET,http://www.asp.net/,https://github.com/aspnet/Mvc,1786,595,1752,7,53,206,452976,C#,"Model view controller framework for building dynamic web sites with clean separation of concerns, including the merged MVC, Web API, and Web Pages w/ Razor.","a Microsoft web application development framework that allows programmers to build dynamic web sites, web applications and web services. "
productivity-plateau,server-web-framework,Django,https://www.djangoproject.com/,https://github.com/django/django,14401,5727,20657,108,874,67,95847,Python,The Web framework for perfectionists with deadlines.,"an open source web application framework, written in Python. Django is designed to reduce the effort required to create complex database-driven websites."
productivity-plateau,server-web-framework,Rails,http://rubyonrails.org/,https://github.com/rails/rails,26289,10450,51433,259,2727,803,293398,Ruby,Ruby on Rails,"an open source full-stack web application framework written in Ruby. It follows the popular MVC framework model and is known for its ""convention over configuration"" approach to applicü??"
enlightenment-slope,rwd-css-frameworks,Twitter Bootstrap,http://getbootstrap.com,https://github.com/twbs/bootstrap,81596,32441,11382,32,651,77,52206,CSS,"The most popular HTML, CSS, and JavaScript framework for developing responsive, mobile first projects on the web.","a front-end framework from Twitter designed to kick-start development of Web apps and sites. Use ""twitter-bootstrap"" and NOT ""bootstrap"" to ask a question about this framework."
enlightenment-slope,rwd-css-frameworks,Foundation,http://foundation.zurb.com/,http://github.com/zurb/foundation,20155,4314,8552,92,688,79,3410,CSS,The most advanced responsive front-end framework in the world. Quickly create prototypes and production code for sites that work on any kind of device.,a cross-device CSS framework for building both prototypes and production code.
disillusionment-trough,rwd-css-frameworks,Skeleton,http://getskeleton.com/,https://github.com/dhg/Skeleton,8739,1488,167,6,24,54,110,CSS,"Skeleton: A Dead Simple, Responsive Boilerplate for Mobile-Friendly Development",A small collection of CSS files that can help to rapidly develop sites for any form factor on any device.
enlightenment-slope,css-authoring,Less,http://lesscss.org/,https://github.com/less/less.js,12325,2823,2443,42,182,196,4310,JavaScript,Leaner CSS,"an open-source stylesheet preprocessor that extends CSS with dynamic behavior such as variables, mixins, operations and functions. It's also a unix command to display a file."
enlightenment-slope,css-authoring,Sass,http://sass-lang.com/,https://github.com/sass/sass,5952,1229,5965,170,163,150,6350,Ruby,Sass makes CSS fun again.,"an extension of CSS adding features like nested rules, variables and mixins. This enables developers to write structured, manageable and reusable CSS. Sass ü??"
enlightenment-slope,css-authoring,Compass,http://compass-style.org/,https://github.com/Compass/compass,6292,1161,3533,143,202,356,2143,CSS,Compass is a Stylesheet Authoring Environment that makes your website design simpler to implement and easier to maintain.,a charityware authoring framework. It uses the SASS stylesheet language to create clean and reusable CSS3 code.
enlightenment-slope,css-authoring,Stylus,http://learnboost.github.io/stylus/,https://github.com/stylus/stylus,5732,786,3709,149,134,143,381,JavaScript,"Expressive, robust, feature-rich CSS language built for nodejs","Expressive, robust, feature-rich CSS language built for Node.js"
enlightenment-slope,client-web-framework,SpineJS,http://spinejs.com,https://github.com/spine/spine,3043,392,897,21,71,32,180,JavaScript,Lightweight MVC library for building JavaScript applications,a lightweight framework for building JavaScript web applications.
tech-trigger,web-components,Brick,http://mozbrick.github.io/,https://github.com/mozbrick/brick,2856,216,683,20,18,30,2,JavaScript,UI Web Components for Modern Web Apps,A bundle of reusable UI components to enable rapid development of cross-browser and mobile-friendly HTML5 web applications
tech-trigger,web-components,Polymer,http://polymer-project.org/,https://github.com/Polymer/polymer,9941,934,2760,57,43,441,2580,HTML,Leverage the future of the web platform today.,"a new type of library for the web, built on top of Web Components, and designed to leverage the evolving web platform on modern browsers."
inflated-expectations,"server-web-framework,micro-framework",Spark,http://sparkjava.com,https://github.com/perwendel/spark,2359,530,396,2,43,82,40,Java,A Sinatra inspired framework for java,a lightweight web application framework inspired by Ruby's Sinatra.
inflated-expectations,"server-web-framework,micro-framework",Ninja,http://www.ninjaframework.org,https://github.com/ninjaframework/ninja,790,282,1522,71,46,61,11,Java,"Ninja is a full stack web framework for Java. Rock solid, fast and super productive.",a full stack web framework for Java
inflated-expectations,"server-web-framework,micro-framework",Jodd,http://jodd.org,https://github.com/oblac/jodd,825,239,3063,20,19,1,22,Java,"Jodd is set of open-source Java tools and micro frameworks; compact, yet powerful.  Jodd = tools + ioc + mvc + db + aop + tx + json + html < 1.5 Mb",an open-source Java utility library and complete set of micro-frameworks.
inflated-expectations,"server-web-framework,micro-framework",Sinatra,http://www.sinatrarb.com,http://github.com/sinatra/sinatra,6964,1100,2729,114,231,34,4072,Ruby,Classy web-development dressed in a DSL (official / canonical repo),"a Domain Specific Language (DSL) for quickly creating web applications in Ruby with minimal effort. It is an alternative to other Ruby web application frameworks such as Ruby on Rails, Merbü??"
inflated-expectations,"server-web-framework,micro-framework",RatPack,http://www.ratpack.io,https://github.com/ratpack/ratpack,595,164,3800,20,68,89,6,Java,A toolkit for JVM web applications,"Ratpack a toolkit for creating high performance web applications built on Java and Netty.

http://www.ratpack.io/"
inflated-expectations,"server-web-framework,micro-framework",Scalatra,http://scalatra.org,https://github.com/scalatra/scalatra,1638,230,2631,95,72,56,220,Scala,"Tiny Scala high-performance, async web framework, inspired by Sinatra","a tiny Scala web framework, inspired by Sinatra."
inflated-expectations,server-web-framework,Revel,https://revel.github.io,https://github.com/revel/revel,5340,783,1168,11,93,145,75,Go,"A high productivity, full-stack web framework for the Go language.",A high-productivity web framework for the Go language.
inflated-expectations,server-web-framework,Gin,https://github.com/gin-gonic/gin,https://github.com/gin-gonic/gin,3207,298,518,7,62,41,0,Go,"Gin is a web framework written in Go (Golang). It features a Martini-like API with much better performance -- up to 40 times faster. If you need smashing performance, get yourself some Gin.",
inflated-expectations,server-web-framework,Martini,http://martini.codegangsta.io,https://github.com/go-martini/martini,7003,687,531,3,89,9,54,Go,Classy web framework for Go,"a popular, lightweight web framework for Go."
inflated-expectations,server-web-framework,Beego,http://beego.me,https://github.com/astaxie/beego,4543,1122,1524,15,99,156,53,Go,"beego is an open-source, high-performance web framework for the Go programming language.","
beego is an open-source, high-performance, modular, full-stack web framework for the Go programming language."
inflated-expectations,server-web-framework,Gorilla,http://www.gorillatoolkit.org,https://github.com/gorilla/mux,1375,229,66,0,18,35,89,Go,A powerful URL router and dispatcher for golang.,"a web toolkit for the Go programming language. It provides several modules to aid web programming: a URL router and dispatcher, a consistent session management system, and a http.response-sü??"
inflated-expectations,server-web-framework,Goji,https://goji.io,https://github.com/zenazn/goji,2373,145,210,5,14,12,7,Go,Goji is a minimalistic web framework for Golang that's high in antioxidants.,a minimalistic web framework (in Go) that values composability and simplicity.
inflated-expectations,"server-web-framework,micro-framework",SenecaJS,http://senecajs.org,https://github.com/rjrodger/seneca,449,64,578,28,18,25,0,JavaScript,A micro-services toolkit for Node.js.,
disillusionment-trough,rwd-css-frameworks,unsemantic,http://unsemantic.com,http://github.com/nathansmith/unsemantic,1025,145,64,2,4,13,0,CSS,"Fluid grid for mobile, tablet, and desktop.",
disillusionment-trough,js-library,MooTools,http://mootools.net,https://github.com/mootools/mootools-core,2123,401,3571,34,62,56,2665,JavaScript,MooTools Core Repository,"a compact, modular, object-oriented prototypal JavaScript framework designed for the intermediate to advanced JavaScript developer. It allows you to write powerful, flexible, and cross-broü??"
enlightenment-slope,js-library,Zepto.js,http://zeptojs.com,https://github.com/madrobby/zepto,8689,2024,1403,18,166,88,283,HTML,"Zepto.js is a minimalist JavaScript library for modern browsers, with a jQuery-compatible API","a minimalist JavaScript framework for modern browsers, with a jQuery-compatible syntax."
disillusionment-trough,server-web-framework,CompoundJS,http://compoundjs.com,https://github.com/1602/compound,1637,194,1396,25,55,46,127,JavaScript,MVC framework. Built on Node.JS. Works on server and browser.,the Node.JS MVC framework based on ExpressJS. 
enlightenment-slope,server-web-framework,FlatironJS,http://flatironjs.org,https://github.com/flatiron/flatiron,1256,74,300,46,31,17,44,JavaScript,framework components for node.js and the browser,an adaptable framework for building modern web applications. It was built from the ground up for use with Javascript and Node.js
enlightenment-slope,server-web-framework,Lift,http://liftweb.net,http://github.com/lift/framework,899,212,3054,46,65,135,1141,Scala,Lift Framework,An open source web application framework written in Scala
disillusionment-trough,js-library,PrototypeJS,www.prototypejs.org,https://github.com/sstephenson/prototype,2981,502,1230,11,31,86,2601,JavaScript,Prototype JavaScript framework,a JavaScript Framework that aims to ease development of dynamic web applications.
tech-trigger,"server-web-framework,micro-framework",Luminus,http://www.luminusweb.net,https://github.com/luminus-framework/luminus,230,41,731,0,,1,12,CSS,documentation site for Luminus framework,"a Clojure Web Micro-framework which uses Compojure, Ring and some popular middlewares"
tech-trigger,server-web-framework,Compojure,http://www.fullstackclojure.com/web-frameworks.html,https://github.com/weavejester/compojure,2501,181,869,53,29,8,278,Clojure,A concise routing library for Ring/Clojure,an open source web framework for the Clojure programming language.
tech-trigger,server-web-framework,Iron,http://ironframework.io,https://github.com/iron/iron,1521,104,695,,35,19,40,Rust,"An Extensible, Concurrent Web Framework for Rust",a extensible web framework for rust
tech-trigger,server-web-framework,nickel.rs,http://nickel.rs,https://github.com/nickel-org/nickel.rs,845,70,468,4,33,30,0,Rust,An expressjs inspired web framework for Rust,
